Line Item,2024,2023,Category,Confidence
(,1.0,2.0,Other,0.4
market data. (,2.0,28.0,Other,0.4
"of September 28,",2024.0,2.6,Other,0.4
(refer to Note,7.0,3.0,Other,0.4
income taxes,28.0,2024.0,Income Taxes,0.7
income taxes,30.0,2023.0,Income Taxes,0.7
marketable securities included,13.2,13.8,Other,0.4
use. The September,28.0,2024.0,Other,0.4
(refer to Note,7.0,28.0,Other,0.4
income taxes,2024.0,86.0,Income Taxes,0.7
had maturities between,1.0,5.0,Other,0.4
and 5 years,0.0,10.0,Other,0.4
10 % between,5.0,10.0,Other,0.4
and 10 years,0.0,4.0,Other,0.4
% greater than,10.0,28.0,Other,0.4
"of September 28,",2024.0,14.0,Other,0.4
had maturities between,1.0,5.0,Other,0.4
and 5 years,0.0,9.0,Other,0.4
9 % between,5.0,10.0,Other,0.4
and 10 years,0.0,77.0,Other,0.4
% greater than,10.0,0.0,Other,0.4
revenue,0.0,12.0,Revenue,0.7
revenue,2024.0,10.0,Revenue,0.7
revenue,37.0,0.0,Revenue,0.7
may use forwards,0.0,28.0,Other,0.4
"of September 28,",2024.0,18.0,Other,0.4
interest rate swaps,0.0,28.0,Other,0.4
"of September 28,",2024.0,30.0,Other,0.4
"and September 30,",2023.0,0.0,Other,0.4
