Line Item,2024,2023,Category,Confidence
Assets Liabilities Assets Liabilities June,30.0,0.0,Other,0.4
June,30.0,0.0,Other,0.4
Designated as Hedging Instruments Foreign exchange contracts,76.0,67.0,Other,0.4
Not Designated as Hedging Instruments Foreign exchange contracts,230.0,332.0,Other,0.4
Equity contracts,491.0,400.0,Other,0.4
Other contracts,3.0,6.0,Other,0.4
Gross amounts of derivatives,800.0,805.0,Other,0.4
Gross amounts of derivatives offset in the balance sheets,151.0,202.0,Other,0.4
Cash collateral received,104.0,125.0,Other,0.4
Net amounts of derivatives,752.0,724.0,Net Income,0.4
Other current liabilities,401.0,341.0,Other,0.4
term liabilities,351.0,383.0,Other,0.4
as of June,30.0,2023.0,Other,0.4
