Line Item,2021,2020,Category,Confidence
Assets Liabilities Assets Liabilities June,30.0,0.0,Other,0.4
June,30.0,0.0,Other,0.4
Designated as Hedging Instruments Foreign exchange contracts,8.0,54.0,Other,0.4
Interest rate contracts Not Designated as Hedging Instruments Foreign exchange contracts,291.0,334.0,Other,0.4
Other contracts,36.0,11.0,Other,0.4
Gross amounts of derivatives,335.0,399.0,Other,0.4
Gross amounts of derivatives offset in the balance sheet,141.0,154.0,Other,0.4
Cash collateral received,0.0,42.0,Other,0.4
Net amounts of derivatives,235.0,395.0,Net Income,0.4
term assets Other current liabilities,182.0,334.0,Other,0.4
term liabilities,53.0,61.0,Other,0.4
as of June,30.0,2020.0,Other,0.4
