0,1,2,3,4,5
Right-of-use assets:,nan,nan,nan,nan,nan
Operating leases,Other non-current assets,$,"10,234",$,"10,661"
Finance leases,"Property, plant and equipment, net",nan,"1,069",nan,"1,015"
Total right-of-use assets,nan,$,"11,303",$,"11,676"
Lease liabilities:,nan,nan,nan,nan,nan
Operating leases,Other current liabilities,$,"1,488",$,"1,410"
nan,Other non-current liabilities,nan,"10,046",nan,"10,408"
Finance leases,Other current liabilities,nan,144,nan,165
nan,Other non-current liabilities,nan,752,nan,859
Total lease liabilities,nan,$,"12,430",$,"12,842"
