0,1,2,3,4,5,6
ricas:,nan,nan,nan,nan,nan,nan
Net sales,$,"167,045",$,"162,560",$,"169,658"
Operating income,$,"67,656",$,"60,508",$,"62,683"
pe:,nan,nan,nan,nan,nan,nan
Net sales,$,"101,328",$,"94,294",$,"95,118"
Operating income,$,"41,790",$,"36,098",$,"35,233"
ter China:,nan,nan,nan,nan,nan,nan
Net sales,$,"66,952",$,"72,559",$,"74,200"
Operating income,$,"27,082",$,"30,328",$,"31,153"
n:,nan,nan,nan,nan,nan,nan
Net sales,$,"25,052",$,"24,257",$,"25,977"
Operating income,$,"12,454",$,"11,888",$,"12,257"
of Asia Pacific:,nan,nan,nan,nan,nan,nan
Net sales,$,"30,658",$,"29,615",$,"29,375"
Operating income,$,"13,062",$,"12,066",$,"11,569"
