0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"29,943",nan,$,"29,965"
Marketable securities,"35,228",nan,"31,590",nan,nan
"Accounts receivable, net","33,410",nan,"29,508",nan,nan
Vendor non-trade receivables,"32,833",nan,"31,477",nan,nan
Inventories,"7,286",nan,"6,331",nan,nan
Other current assets,"14,287",nan,"14,695",nan,nan
Total current assets,"152,987",nan,"143,566",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"91,479",nan,"100,544",nan,nan
"Property, plant and equipment, net","45,680",nan,"43,715",nan,nan
Other non-current assets,"74,834",nan,"64,758",nan,nan
Total non-current assets,"211,993",nan,"209,017",nan,nan
Total assets,$,"364,980",nan,$,"352,583"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"68,960",nan,$,"62,611"
Other current liabilities,"78,304",nan,"58,829",nan,nan
Deferred revenue,"8,249",nan,"8,061",nan,nan
Commercial paper,"9,967",nan,"5,985",nan,nan
Term debt,"10,912",nan,"9,822",nan,nan
Total current liabilities,"176,392",nan,"145,308",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"85,750",nan,"95,281",nan,nan
Other non-current liabilities,"45,888",nan,"49,848",nan,nan
Total non-current liabilities,"131,638",nan,"145,129",nan,nan
Total liabilities,"308,030",nan,"290,437",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 15,116,786 and 15,550,061 shares issued and outstanding, respectively","83,276",nan,"73,812",nan,nan
Accumulated deficit,"(19,154)",nan,(214),nan,nan
Accumulated other comprehensive loss,"(7,172)",nan,"(11,452)",nan,nan
Total shareholders’ equity,"56,950",nan,"62,146",nan,nan
Total liabilities and shareholders’ equity,$,"364,980",nan,$,"352,583"
