0,1,2,3,4
of equity awards,"(1,920)","(1,595)","(3,802)","(3,310)"
Share-based compensation,"2,955","2,694","9,088","8,438"
Ending balances,"79,850","70,667","79,850","70,667"
ined earnings/(Accumulated deficit):,nan,nan,nan,nan
Beginning balances,"4,339","4,336",(214),"(3,068)"
Net income,"21,448","19,881","79,000","74,039"
Dividends and dividend equivalents declared,"(3,864)","(3,811)","(11,384)","(11,207)"
Common stock withheld related to net share settlement,nan,nan,nan,nan
of equity awards,(428),(858),"(1,517)","(1,988)"
Common stock repurchased,"(26,221)","(18,140)","(70,611)","(56,368)"
Ending balances,"(4,726)","1,408","(4,726)","1,408"
mulated other comprehensive income/(loss):,nan,nan,nan,nan
Beginning balances,"(8,960)","(11,746)","(11,452)","(11,109)"
Other comprehensive income/(loss),544,(55),"3,036",(692)
Ending balances,"(8,416)","(11,801)","(8,416)","(11,801)"
