0,1,2,3,4,5,6,7,8,9,10,11,12
Subtotal,"144,470",nan,18,nan,"(11,657)","132,831",nan,"1,125",nan,"31,162",nan,"100,544"
(2),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total,"$ 173,752",$,30,$,"(11,683)","$ 162,099",$,"29,965",$,"31,590",$,"100,544"
nan,nan,nan,nan,nan,nan,2022,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,Cash and,nan,nan,Current,Non-Current,nan
nan,Adjusted,Unrealized,nan,Unrealized,nan,Fair,nan,Cash,Marketable,nan,Marketable,nan
nan,Cost,nan,Gains,nan,Losses,Value,Equivalents,nan,Securities,nan,Securities,nan
Cash,"$ 18,546",$,—,$,—,"$ 18,546",$,"18,546",$,—,$,—
Level 1:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Money market funds,"2,929",nan,—,nan,—,"2,929",nan,"2,929",nan,—,nan,—
Mutual funds,274,nan,—,nan,(47),227,nan,—,nan,227,nan,—
Subtotal,"3,203",nan,—,nan,(47),"3,156",nan,"2,929",nan,227,nan,—
(1),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Level 2 :,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
U.S. Treasury securities,"25,134",nan,—,nan,"(1,725)","23,409",nan,338,nan,"5,091",nan,"17,980"
U.S. agency securities,"5,823",nan,—,nan,(655),"5,168",nan,—,nan,240,nan,"4,928"
Non-U.S. government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,"16,948",nan,2,nan,"(1,201)","15,749",nan,—,nan,"8,806",nan,"6,943"
Certificates of deposit and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
time deposits,"2,067",nan,—,nan,—,"2,067",nan,"1,805",nan,262,nan,—
Commercial paper,718,nan,—,nan,—,718,nan,28,nan,690,nan,—
Corporate debt securities,"87,148",nan,9,nan,"(7,707)","79,450",nan,—,nan,"9,023",nan,"70,427"
Municipal securities,921,nan,—,nan,(35),886,nan,—,nan,266,nan,620
Mortgage- and asset-backed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,"22,553",nan,—,nan,"(2,593)","19,960",nan,—,nan,53,nan,"19,907"
Subtotal,"161,312",nan,11,nan,"(13,916)","147,407",nan,"2,171",nan,"24,431",nan,"120,805"
(2),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total,"$ 183,061",$,11,$,"(13,963)","$ 169,109",$,"23,646",$,"24,658",$,"120,805"
