0,1,2,3,4,5,6,7,8,9,11,12,13
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Filing
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Date/
Exhibit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Period End
Number,Exhibit Description,nan,nan,nan,nan,nan,nan,nan,nan,Form,Exhibit,Date
4.29,Officer’s Certificate of,the,"Registrant,",dated,as,of,May,"10,","2023,",8-K,4.1,5/10/23
nan,including forms of global notes representing the 4.421% Notes due,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,"2026, 4.000% Notes",due,"2028, 4.150%",Notes,nan,due,"2030,",4.300%,nan,nan,nan,nan
nan,Notes due 2033 and 4.850% Notes due 2053.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.30*,Apple Inc. Deferred Compensation Plan.,nan,nan,nan,nan,nan,nan,nan,nan,S-8,4.1,8/23/18
10.1*,"Apple Inc. Employee Stock Purchase Plan, as amended and restated as",nan,nan,nan,nan,nan,nan,nan,nan,8-K,10.1,3/13/15
nan,"of March 10, 2015.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.2*,Form of Indemnification Agreement between the Registrant and each,nan,nan,nan,nan,nan,nan,nan,nan,10-Q,10.2,6/27/09
nan,director and executive officer of the Registrant.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.3*,"Apple Inc. Non-Employee Director Stock Plan, as amended November 9,",nan,nan,nan,nan,nan,nan,nan,nan,10-Q,10.1,12/25/21
nan,2021.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.4*,"Apple Inc. 2014 Employee Stock Plan, as amended and restated as of",nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.8,9/30/17
nan,"October 1, 2017.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5*,Form of Restricted Stock Unit Award Agreement under 2014 Employee,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.20,9/30/17
nan,"Stock Plan effective as of September 26, 2017.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.6*,Form of Restricted Stock Unit Award Agreement under Non-Employee,nan,nan,nan,nan,nan,nan,nan,nan,10-Q,10.2,3/31/18
nan,"Director Stock Plan effective as of February 13, 2018.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.7*,Form of Restricted Stock Unit Award Agreement under 2014 Employee,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.17,9/29/18
nan,"Stock Plan effective as of August 21, 2018.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.8*,Form of Performance Award Agreement under 2014 Employee Stock,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.18,9/29/18
nan,"Plan effective as of August 21, 2018.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.9*,Form of Restricted Stock Unit Award Agreement under 2014 Employee,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.15,9/28/19
nan,"Stock Plan effective as of September 29, 2019.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.10*,Form of Performance Award Agreement under 2014 Employee Stock,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.16,9/28/19
nan,"Plan effective as of September 29, 2019.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.11*,Form of Restricted Stock Unit Award Agreement under 2014 Employee,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.16,9/26/20
nan,"Stock Plan effective as of August 18, 2020.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.12*,Form of Performance Award Agreement under 2014 Employee Stock,nan,nan,nan,nan,nan,nan,nan,nan,10-K,10.17,9/26/20
nan,"Plan effective as of August 18, 2020.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
