0,1,2,3,4,5,6,7,9,10,11,12,13,14
"March 31, 2023",nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive Income,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Commercial paper,Level 2  $,"9,853",$,0.0,$,0,"$ 9,853",$,"9,207",$,646,$,0
Certificates of deposit,Level 2,"2,229",nan,0.0,nan,0,"2,229",nan,"2,185",nan,44,nan,0
U.S. government,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 1,"66,318",nan,1.0,nan,"(3,169 )","63,150",nan,"1,550",nan,"61,600",nan,0
U.S. agency securities,Level 2,"7,469",nan,1.0,nan,(2 ),"7,468",nan,"4,127",nan,"3,341",nan,0
Foreign government,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,512,nan,1.0,nan,(23 ),490,nan,5,nan,485,nan,0
Mortgage- and asset-,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
backed securities,Level 2,767,nan,1.0,nan,(36 ),732,nan,0,nan,732,nan,0
Corporate notes and,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,"10,963",nan,18.0,nan,(552 ),"10,429",nan,0,nan,"10,429",nan,0
Corporate notes and,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 3,118,nan,0.0,nan,0,118,nan,0,nan,118,nan,0
Municipal securities,Level 2,367,nan,13.0,nan,(15 ),365,nan,0,nan,365,nan,0
Municipal securities,Level 3,104,nan,0.0,nan,(7 ),97,nan,0,nan,97,nan,0
Total debt,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,$,"98,700",$,35.0,$,"(3,804 )","$ 94,931",$,"17,074",$,"77,857",$,0
Changes in Fair Value,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net Income,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equity investments,Level 1,nan,nan,,nan,nan,"$ 3,475",$,979,$,0,$,"2,496"
Equity investments,Other,nan,nan,,nan,nan,"6,919",nan,0,nan,0,nan,"6,919"
Total equity,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,,nan,nan,"$ 10,394",$,979,$,0,$,"9,415"
Cash,nan,nan,nan,,nan,nan,"$ 8,509",$,"8,509",$,0,$,0
"Derivatives, net (a)",nan,nan,nan,,nan,nan,8,nan,0,nan,8,nan,0
Total,nan,nan,nan,,nan,nan,"$ 113,842",$,"26,562",$,"77,865",$,"9,415"
