0,1,2,3,4,5,6,7,8,9,10
nan,Fair,nan,Adjusted,nan,nan,nan,nan,Cash,nan,nan
nan,Value,nan,Cost,Unrealized,Unrealized,nan,Recorded,and Cash,Short-term,Equity
(In millions),Level,nan,Basis,Gains,Losses,nan,Basis,Equivalents,Investments,Investments
"June 30, 2022",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Commercial paper,Level 2,$,"2,500",$ 0,$ 0,$,"2,500","$ 2,498",$ 2,$ 0
Certificates of deposit,Level 2,nan,"2,071",0,0,nan,"2,071","2,032",39,0
U.S. government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 1,nan,"79,696",29,"(2,178 )",nan,"77,547",9,"77,538",0
U.S. agency securities,Level 2,nan,419,0,(9 ),nan,410,0,410,0
Foreign government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,nan,506,0,(24 ),nan,482,0,482,0
Mortgage- and asset-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
backed securities,Level 2,nan,727,1,(30 ),nan,698,0,698,0
Corporate notes and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,nan,"11,661",4,(554 ),nan,"11,111",0,"11,111",0
Corporate notes and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 3,nan,67,0,0,nan,67,0,67,0
Municipal securities,Level 2,nan,368,19,(13 ),nan,374,0,374,0
Municipal securities,Level 3,nan,103,0,(6 ),nan,97,0,97,0
Total debt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,$,"98,118",$ 53,"$ (2,814 )",$,"95,357","$ 4,539","$ 90,818",$ 0
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equity investments,Level 1,nan,nan,nan,nan,$,"1,590","$ 1,134",$ 0,$ 456
Equity investments,Other,nan,nan,nan,nan,nan,"6,435",0,0,"6,435"
Total equity,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,nan,nan,$,"8,025","$ 1,134",$ 0,"$ 6,891"
Cash,nan,nan,nan,nan,nan,$,"8,258","$ 8,258",$ 0,$ 0
"Derivatives, net (a)",nan,nan,nan,nan,nan,nan,8,0,8,0
Total,nan,nan,nan,nan,nan,"$ 111,648",nan,"$ 13,931","$ 90,826","$ 6,891"
