0,1,2,3,4,5,6,7,8
nan,nan,Less than 12 Months,nan,12 Months or Greater,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,Total
nan,nan,Unrealized,nan,Unrealized,nan,Total,nan,Unrealized
(In millions),nan,Fair Value  Losses,nan,Fair Value  Losses,nan,Fair Value,nan,Losses
"March 31, 2023",nan,nan,nan,nan,nan,nan,nan,nan
U.S. government and agency,nan,nan,nan,nan,nan,nan,nan,nan
securities,$,"12,922  $ (354 )",$,"41,520  $ (2,817 )",$,"54,442",$,"(3,171 )"
Foreign government bonds,nan,74  (5 ),nan,390  (18 ),nan,464,nan,(23 )
Mortgage- and asset-backed,nan,160 (5,nan,(31 ),nan,547,nan,(36
securities,nan,),nan,387,nan,nan,nan,)
Corporate notes and bonds,nan,"2,015  (41 )",nan,"7,486  (511 )",nan,"9,501",nan,(552 )
Municipal securities,nan,87  (2 ),nan,177  (20 ),nan,264,nan,(22 )
Total,$,"15,258  $ (407 )",$,"49,960  $ (3,397 )",$,"65,218",$,"(3,804 )"
nan,nan,Less than 12 Months,nan,12 Months or Greater,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,Total
nan,nan,Unrealized,nan,Unrealized,nan,Total,nan,Unrealized
(In millions),nan,Fair Value  Losses,nan,Fair Value  Losses,nan,Fair Value,nan,Losses
"June 30, 2022",nan,nan,nan,nan,nan,nan,nan,nan
U.S. government and agency,nan,nan,nan,nan,nan,nan,nan,nan
securities,$,"59,092  $ (1,835 )",$,"2,210  $ (352 )",$,"61,302",$,"(2,187 )"
Foreign government bonds,nan,418  (18 ),nan,27  (6 ),nan,445,nan,(24 )
Mortgage- and asset-backed,nan,nan,nan,),nan,nan,nan,nan
securities,nan,510  (26 ),nan,41  (4,nan,551,nan,(30 )
Corporate notes and bonds,nan,"9,443  (477 )",nan,786  (77 ),nan,"10,229",nan,(554 )
Municipal securities,nan,178  (12 ),nan,74  (7 ),nan,252,nan,(19 )
Total,$,"69,641  $ (2,368 )",$,"3,138  $ (446 )",$,"72,779",$,"(2,814 )"
