0,1,2,3,4,5,6,7,8,9,10,11
(In millions),Amount,nan,Amortization,nan,Amount,nan,Amount,nan,Amortization,nan,Amount
nan,nan,nan,nan,nan,"March 31,",nan,nan,nan,nan,nan,"June 30,"
nan,nan,nan,nan,nan,2023,nan,nan,nan,nan,nan,2022
Technology-based $,"11,228",$,"(7,366 )",$,"3,862",$,"11,277",$,"(6,958 )",$,"4,319"
Customer-related,"7,308",nan,"(3,837 )",nan,"3,471",nan,"7,342",nan,"(3,171 )",nan,"4,171"
Marketing-related,"4,929",nan,"(2,393 )",nan,"2,536",nan,"4,942",nan,"(2,143 )",nan,"2,799"
Contract-based,23,nan,(13 ),nan,10,nan,16,nan,(7 ),nan,9
Total $,"23,488",$,"(13,609 )",$,"9,879",$,"23,577",$,"(12,279 )",$,"11,298"
Intangible assets amortization expense was $612 million and $1.9 billion for the three and nine months ended March,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"31, 2023, respectively, and $502 million and $1.4 billion for the three and nine months ended March 31, 2022,",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
respectively.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"The following table outlines the estimated future amortization expense related to intangible assets held as of March 31,",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2023:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Year Ending June 30,",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"2023 (excluding the nine months ended March 31, 2023)",nan,nan,nan,nan,nan,nan,nan,nan,$,nan,628
2024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,403"
2025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,869"
2026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,341"
2027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,900
Thereafter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,738"
Total,nan,nan,nan,nan,nan,nan,nan,nan,$,nan,"9,879"
