0,1,2,3,4,6,7,8
"(In millions, except per share amounts) (Unaudited)",nan,nan,nan,"March 31,",nan,nan,"March 31,"
nan,nan,2023,nan,2022,2023,nan,2022
Revenue:,nan,nan,nan,nan,nan,nan,nan
Product,$,"15,588",$,"17,366  $","47,846",$,"54,776"
Service and other,nan,"37,269",nan,"31,994","107,880",nan,"91,629"
Total revenue,nan,"52,857",nan,"49,360","155,726",nan,"146,405"
Cost of revenue:,nan,nan,nan,nan,nan,nan,nan
Product,nan,"3,941",nan,"4,584","13,933",nan,"14,707"
Service and other,nan,"12,187",nan,"11,031","35,135",nan,"31,514"
Total cost of revenue,nan,"16,128",nan,"15,615","49,068",nan,"46,221"
Gross margin,nan,"36,729",nan,"33,745","106,658",nan,"100,184"
Research and development,nan,"6,984",nan,"6,306","20,456",nan,"17,663"
Sales and marketing,nan,"5,750",nan,"5,595","16,555",nan,"15,521"
General and administrative,nan,"1,643",nan,"1,480","5,378",nan,"4,151"
Operating income,nan,"22,352",nan,"20,364","64,269",nan,"62,849"
"Other income (expense), net",nan,321,nan,(174 ),315,nan,380
Income before income taxes,nan,"22,673",nan,"20,190","64,584",nan,"63,229"
Provision for income taxes,nan,"4,374",nan,"3,462","12,304",nan,"7,231"
Net income,$,"18,299",$,"16,728  $","52,280",$,"55,998"
Earnings per share:,nan,nan,nan,nan,nan,nan,nan
Basic,$,2.46,$,2.23  $,7.02,$,7.46
Diluted,$,2.45,$,2.22  $,6.99,$,7.41
Weighted average shares outstanding:,nan,nan,nan,nan,nan,nan,nan
Basic,nan,"7,441",nan,"7,493","7,450",nan,"7,504"
Diluted,nan,"7,464",nan,"7,534","7,474",nan,"7,552"
