0,1,2,3,4,5,6,7,8,9
"(In millions, except percentages)",nan,nan,nan,"March 31,",Change,nan,nan,"March 31,",Change
nan,nan,2025,nan,2024,nan,nan,2025,2024,nan
Revenue,nan,nan,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"29,944",$,"27,113",10%,$,"87,698  $","78,193",12%
Intelligent Cloud,nan,"26,751",nan,"22,141",21%,nan,"76,387","63,679",20%
More Personal Computing,nan,"13,371",nan,"12,604",6%,nan,"41,198","38,523",7%
Total,$,"70,066",$,"61,858",13%,$,"205,283  $ 180,395",nan,14%
Operating Income,nan,nan,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"17,379",$,"15,143",15%,$,"50,780  $","43,955",16%
Intelligent Cloud,nan,"11,095",nan,"9,515",17%,nan,"32,449","27,978",16%
More Personal Computing,nan,"3,526",nan,"2,923",21%,nan,"10,976","9,575",15%
Total,$,"32,000",$,"27,581",16%,$,"94,205  $","81,508",16%
