0,1,2,3,4,5
Fiscal Year 2025,nan,nan,nan,nan,(In millions)
"September 16, 2024","November 21, 2024","December 12, 2024",$,0.83  $,"6,170"
"December 3, 2024","February 20, 2025","March 13, 2025",nan,0.83,"6,169"
"March 11, 2025","May 15, 2025","June 12, 2025",nan,0.83,"6,170"
Total,nan,nan,$,2.49  $,"18,509"
Fiscal Year 2024,nan,nan,nan,nan,nan
"September 19, 2023","November 16, 2023","December 14, 2023",$,0.75  $,"5,574"
"November 28, 2023","February 15, 2024","March 14, 2024",nan,0.75,"5,573"
"March 12, 2024","May 16, 2024","June 13, 2024",nan,0.75,"5,574"
Total,nan,nan,$,2.25  $,"16,721"
