0,2,3,4,5
nan,2025,2024,2025,2024
Operations,nan,nan,nan,nan
Net income  $,"25,824  $","21,939  $","74,599  $","66,100"
Adjustments to reconcile net income to net cash from,nan,nan,nan,nan
operations:,nan,nan,nan,nan
"Depreciation, amortization, and other","8,740","6,027","22,950","15,907"
Stock-based compensation expense,"2,980","2,703","8,901","8,038"
Net recognized losses (gains) on investments and,nan,nan,nan,nan
derivatives,(298),49,553,261
Deferred income taxes,"(2,244)","(1,323)","(4,835)","(3,593)"
Changes in operating assets and liabilities:,nan,nan,nan,nan
Accounts receivable,"(2,461)","(2,028)","5,598","6,055"
Inventories,52,260,390,"1,229"
Other current assets,"1,076",951,642,880
Other long-term assets,(518),"(2,137)","(3,368)","(5,577)"
Accounts payable,"1,179",648,"1,221",(659)
Unearned revenue,"(1,032)",(645),"(12,923)","(10,309)"
Income taxes,"1,298","2,622","(1,081)","2,493"
Other current liabilities,"2,839","2,803",576,215
Other long-term liabilities,(391),48,292,313
Net cash from operations,"37,044","31,917","93,515","81,353"
Financing,nan,nan,nan,nan
"Proceeds from issuance (repayments) of debt, maturities",nan,nan,nan,nan
"of 90 days or less, net",0,"(3,810)","(5,746)","6,392"
Proceeds from issuance of debt,0,"6,352",0,"24,198"
Repayments of debt,"(2,250)","(11,589)","(3,216)","(16,005)"
Common stock issued,546,522,"1,508","1,468"
Common stock repurchased,"(4,781)","(4,213)","(13,874)","(13,044)"
Common stock cash dividends paid,"(6,169)","(5,572)","(17,913)","(16,197)"
"Other, net",(382),(498),"(1,614)","(1,006)"
Net cash used in financing,"(13,036)","(18,808)","(40,855)","(14,194)"
Investing,nan,nan,nan,nan
Additions to property and equipment,"(16,745)","(10,952)","(47,472)","(30,604)"
"Acquisition of companies, net of cash acquired and",nan,nan,nan,nan
"divestitures, and purchases of intangible and other",nan,nan,nan,nan
assets,(981),"(1,575)","(4,235)","(67,790)"
Purchases of investments,"(4,474)","(2,183)","(8,144)","(14,901)"
Maturities of investments,"6,721","3,350","11,461","23,218"
Sales of investments,"2,161","1,941","6,688","8,871"
"Other, net",604,"(1,281)",(325),(916)
Net cash used in investing,"(12,714)","(10,700)","(42,027)","(82,122)"
Effect of foreign exchange rates on cash and cash,nan,nan,nan,nan
equivalents,52,(80),(120),(107)
Net change in cash and cash equivalents,"11,346","2,329","10,513","(15,070)"
"Cash and cash equivalents, beginning of period","17,482","17,305","18,315","34,704"
