0,1,2,3,4,5,6,7,8,9,10,11
(In millions),Level,Cost Basis,nan,Gains,nan,Losses,nan,Basis,Equivalents,Investments,Investments
"June 30, 2023",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Commercial paper,Level 2,"$ 16,589",$,0,$,0,$,"16,589","$ 12,231","$ 4,358",$ 0
Certificates of,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deposit,Level 2,"2,701",nan,0,nan,0,nan,"2,701","2,657",44,0
U.S. government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 1,"65,237",nan,2,nan,"(3,870 )",nan,"61,369","2,991","58,378",0
U.S. agency,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 2,"2,703",nan,0,nan,0,nan,"2,703",894,"1,809",0
Foreign government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,498,nan,1,nan,(24 ),nan,475,0,475,0
Mortgage- and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
asset-backed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 2,824,nan,1,nan,(39 ),nan,786,0,786,0
Corporate notes and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,"10,809",nan,8,nan,(583 ),nan,"10,234",0,"10,234",0
Corporate notes and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 3,120,nan,0,nan,0,nan,120,0,120,0
Municipal securities,Level 2,285,nan,1,nan,(18 ),nan,268,7,261,0
Municipal securities,Level 3,103,nan,0,nan,(16 ),nan,87,0,87,0
Total debt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,"$ 99,869",$,13,$,"(4,550 )",$,"95,332","$ 18,780","$ 76,552",$ 0
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equity investments,Level 1,nan,nan,nan,nan,nan,$,"10,138","$ 7,446",$ 0,"$ 2,692"
Equity investments,Other,nan,nan,nan,nan,nan,nan,"7,187",0,0,"7,187"
Total equity,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,nan,nan,nan,$,"17,325","$ 7,446",$ 0,"$ 9,879"
Cash,nan,nan,nan,nan,nan,nan,$,"8,478","$ 8,478",$ 0,$ 0
"Derivatives, net (a)",nan,nan,nan,nan,nan,nan,nan,6,0,6,0
Total,nan,nan,nan,nan,nan,nan,"$ 121,141",nan,"$ 34,704","$ 76,558","$ 9,879"
