0,1,2,3,4,5,6,7
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,2024,nan,2023,nan,2024,nan,2023
Revenue,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes $,"19,570",$,"17,516",$,"57,411",$,"50,983"
Intelligent Cloud,"26,708",nan,"22,081",nan,"76,847",nan,"63,914"
More Personal Computing,"15,580",nan,"13,260",nan,"46,137",nan,"40,829"
Total $,"61,858",$,"52,857",nan,"180,39",nan,nan
nan,nan,nan,nan,$,5,"$155,726",nan
Operating Income,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes $,"10,143",$,"8,639",$,"30,397",$,"25,137"
Intelligent Cloud,"12,513",nan,"9,476",nan,"36,725",nan,"27,358"
More Personal Computing,"4,925",nan,"4,237",nan,"14,386",nan,"11,774"
Total $,"27,581",$,"22,352",$,"81,508",$,"64,269"
No sales to an individual customer or country other than the United States accounted for more than 10% of revenue fo,nan,nan,nan,nan,nan,nan,nan
"the three or nine months ended March 31, 2024 or 2023. Revenue, classified by the major geographic areas in whic",nan,nan,nan,nan,nan,nan,nan
"our customers were located, was as follows:",nan,nan,nan,nan,nan,nan,nan
nan,Three Months Ended,nan,nan,nan,Nine Months Ended,nan,nan
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,2024,nan,2023,nan,2024,nan,2023
United States (a) $,"31,437",$,"26,007",$,"92,544",$,"78,850"
Other countries,"30,421",nan,"26,850",nan,"87,851",nan,"76,876"
Total $,"61,858",$,"52,857",nan,"180,39",nan,nan
nan,nan,nan,nan,$,5,"$155,726",nan
