0,1,2,3,4,5,6,7,8,9,10
nan,nan,2023,nan,2022,nan,nan,2023,nan,2022,nan
Gross margin,$,"42,397",$,"35,259",20%,$,"82,612",$,"69,929",18%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,152,*,nan,0,nan,152,*
Adjusted gross margin (non-GAAP),$,"42,397",$,"35,411",20%,$,"82,612",$,"70,081",18%
Operating income,$,"27,032",$,"20,399",33%,$,"53,927",$,"41,917",29%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,"1,171",*,nan,0,nan,"1,171",*
Adjusted operating income (non-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GAAP),$,"27,032",$,"21,570",25%,$,"53,927",$,"43,088",25%
Net income,$,"21,870",$,"16,425",33%,$,"44,161",$,"33,981",30%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,946,*,nan,0,nan,946,*
Adjusted net income (non-GAAP),$,"21,870",$,"17,371",26%,$,"44,161",$,"34,927",26%
Diluted earnings per share,$,2.93,$,2.20,33%,$,5.92,$,4.54,30%
"Severance, hardware-related",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"impairment, and lease",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
consolidation costs,nan,0,nan,0.12,*,nan,0,nan,0.13,*
Adjusted diluted earnings per share,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
(non-GAAP),$,2.93,$,2.32,26%,$,5.92,$,4.67,27%
