0,1,2,3,4,5
(In millions),nan,"December 31,",nan,nan,"December 31,"
nan,2023,2022,nan,2023,2022
Designated as Fair Value Hedging Instruments,nan,nan,nan,nan,nan
Interest rate contracts,nan,nan,nan,nan,nan
Derivatives $,22,$ 5,$,6,$ (38 )
Hedged items,(34 ),(8 ),nan,(31 ),35
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan
Amount reclassified from accumulated other,nan,nan,nan,nan,nan
comprehensive loss,51,103,nan,5,44
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,(334 ),(250 ),nan,(128 ),(10 )
Equity contracts,(287 ),(181 ),nan,(174 ),(169 )
Other contracts,36,(25 ),nan,3,(35 )
"Gains, net of tax, on derivative instruments recognized in our consolidated comprehensive income statements were as",nan,nan,nan,nan,nan
follows:,nan,nan,nan,nan,nan
nan,Three Months Ended,nan,nan,Six Months Ended,nan
(In millions),nan,"December 31,",nan,nan,"December 31,"
nan,2023,2022,nan,2023,2022
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan
Included in effectiveness assessment $,37,$ 49,$,22,$ 9
NOTE 6 — INVENTORIES,nan,nan,nan,nan,nan
The components of inventories were as follows:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
nan,nan,"December 31,",nan,nan,"June 30,"
nan,nan,nan,nan,2023,2023
Raw materials,nan,$,nan,382  $,709
Work in process,nan,nan,nan,12,23
Finished goods,nan,nan,nan,"1,221","1,768"
Total,nan,$,nan,"1,615  $","2,500"
