0,1,2,3,4,5,7,8,9
nan,nan,nan,nan,nan,nan,Cash,Short-,nan
nan,Fair,nan,Adjusted,Unrealize,Unrealize,and Cash,term,Equity
nan,Value,nan,Cost,d,d Recorded,Equivalen Investmen,Investmen,nan
(In millions),Level,nan,Basis,Gains,Losses  Basis,ts,ts,ts
"June 30, 2023",nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan
nan,Level,nan,nan,nan,nan,nan,nan,nan
Commercial paper,2,$,"16,589",$ 0,"$ 0  $ 16,589","$ 12,231 $","4,358 $",0
Certificates of,Level,nan,nan,nan,nan,nan,nan,nan
deposit,2,nan,"2,701",0,"0 2,701","2,657",44,0
U.S. government,Level,nan,nan,nan,nan,nan,nan,nan
securities,1,nan,"65,237",2,"(3,870)61,369","2,991","58,378",0
U.S. agency,Level,nan,nan,nan,nan,nan,nan,nan
securities,2,nan,"2,703",0,"02,703",894,"1,809",0
Foreign government,Level,nan,nan,nan,nan,nan,nan,nan
bonds,2,nan,498,1,(24)475,0,475,0
Mortgage- and,nan,nan,nan,nan,nan,nan,nan,nan
asset-backed,Level,nan,nan,nan,nan,nan,nan,nan
securities,2,nan,824,1,(39)786,0,786,0
Corporate notes,Level,nan,nan,nan,nan,nan,nan,nan
and bonds,2,nan,"10,809",8,"(583)10,234",0,"10,234",0
Corporate notes,Level,nan,nan,nan,nan,nan,nan,nan
and bonds,3,nan,120,0,0120,0,120,0
Municipal securities,Level,nan,nan,nan,nan,nan,nan,nan
nan,2,nan,285,1,(18)268,7,261,0
Municipal securities,Level,nan,nan,nan,nan,nan,nan,nan
nan,3,nan,103,0,(16)87,0,87,0
Total debt,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,$,"99,869",$ 13,"$ (4,550)  $ 95,332","$ 18,780 $","76,552 $",0
Changes in Fair Value,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan
nan,Level,nan,nan,nan,nan,nan,nan,nan
Equity investments,1,nan,nan,nan,"$ 10,138","$ 7,446 $",0 $,"2,692"
Equity investments,Other,nan,nan,nan,"7,187",0,0,"7,187"
Total equity,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,nan,"$ 17,325","$ 7,446 $",0 $,"9,879"
Cash,nan,nan,nan,nan,"$ 8,478 $","8,478 $",0 $,0
(a),nan,nan,nan,nan,nan,nan,nan,nan
"Derivatives, net",nan,nan,nan,nan,6,0,6,0
Total,nan,nan,nan,nan,"121,14",nan,nan,nan
nan,nan,nan,nan,nan,$ 1,"$ 34,704 $","76,558 $","9,879"
