0,1,2,3
Item 7,nan,nan,nan
SUMMARY RESULTS OF OPERATIONS,nan,nan,nan
nan,nan,nan,Percentage
"(In millions, except percentages and per share amounts) 2023",nan,2022,Change
"Revenue  $ 211,915",$,"198,270",7%
"Gross margin 146,052",nan,"135,620",8%
"Operating income 88,523",nan,"83,383",6%
"Net income 72,361",nan,"72,738",(1)%
Diluted earnings per share 9.68,nan,9.65,0%
"Adjusted gross margin (non-GAAP) 146,204",nan,"135,620",8%
"Adjusted operating income (non-GAAP) 89,694",nan,"83,383",8%
"Adjusted net income (non-GAAP) 73,307",nan,"69,447",6%
Adjusted diluted earnings per share (non-GAAP) 9.81,nan,9.21,7%
