0,1,2,3,4,5,6,7,8,9,10,11,12
(In millions),2021,nan,ns,nan,Other,2022,nan,ns,nan,Other,nan,2023
Productivity and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Business,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"24,77"
Processes,"$24,317",$,599,$,(105),"$24,811",$,11,$,(47),$,5
Intelligent Cloud,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30,46"
nan,"13,256",nan,"16,879",nan,47,"30,182",nan,223,nan,64,nan,9
More Personal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"12,64"
Computing,"12,138",nan,648,nan,(255 ),"12,531",nan,0,nan,111,nan,2
Total,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"67,88"
nan,"$49,711",$,"18,126",$,(313),"$67,524",$,234,$,128,$,6
